message_id,date,text
131607,2026-02-28T18:05:32+00:00,"هیچوقت تاحالا قبل از این موضوعات متوجه نشده بودم ترامپ چقدر هرروز حرف میزنه
Nika
@sut_tw"
131587,2026-02-27T19:31:44+00:00,"شهاب حسینی الان پست خدافظی از بازیگری گذاشته تو اینستاگرام، شاید یادتون نیاد ولی چند سال پیش از خود اینستاگرام خدافظی کرده بود!
- آیدین داش آغلو
@sut_tw"
131588,2026-02-27T19:31:50+00:00,"📱
 
ChatGPT Plus
 
✔️
 
➖
➖
➖
➖
➖
➖
➖
➖
➖
➖
🤖
 دسترسی کامل به نسخه 
CHATGPT 5.2
 مناسب تحلیل و حل مسائل سخت 
💡
فعال سازی اشتراک بر روی 
ایمیل شخصی
 شما.
💎
تمام سفارش‌ها دارای 
ضمانت 
میباشد.
💎
تخفیف فعلی به دلیل آفر رسمی سایت می‌باشد و برای مدت محدود فعال است.
➖
➖
➖
➖
➖
➖
➖
➖
➖
➖
💲
قیمت اشتراک 
یک ماهه: 
❤️
 
Member 
1️⃣
9️⃣
0️⃣
 
🔤
             
➖
➖
➖
➖
➖
➖
➖
➖
➖
➖
💓
جهت خرید 
سریع کلیک کنید
💡
جهت مشاوره رایگان
 
کلیک
 کنید.
❤️
  
در کانال ما عضو شوید."
131589,2026-02-28T06:31:01+00:00,"تنها آمادگیم‌ برای جنگ اینه که هر شب میرم حموم،که‌ جنگ شد دیر تر کثیف شم.
Call out my name 
@sut_tw"
131590,2026-02-28T06:39:51+00:00,"بنده حقیر در حال انتظار شنیدن صدای بوممممم
- Mel
@sut_tw"
131591,2026-02-28T06:50:03+00:00,"رعایت این توصیه‌های ایمنی خونه‌ی بالای هشتاد متر می‌خواد، من اومدم از پنجره فاصله بگیرم افتادم زیر لوستر.
Maryam
@sut_tw"
131592,2026-02-28T06:52:53+00:00,"اینهمه بیدار موندیم تا پنج صبح اینا تو ساعت اداری و کارمندی جنگ رو شروع کردن
- حشمت کرایست -
@sut_tw"
131593,2026-02-28T06:56:43+00:00,"طنز ایرانی تو حساس‌ترین موقعیت قرن:
- Alireza Nouri -
@sut_tw"
131594,2026-02-28T07:02:35+00:00,"اگر اتفاقی افتاد و من از جنگ جون سالم به در نبردم من فقط قربانی بودم، نه شهید جنگ با استکبار جهانی و صهیونیسم، نه جا‌ن‌فدای میهن. نه هدیه به میهن شدم نه هیچ چیز دیگر، من فقط قربانی بودم قربانی.
- آقای دیپلمات -
@sut_tw"
131595,2026-02-28T07:08:09+00:00,"لطفا اگه اکس‌ منید جنگ شد بهم زنگ نزنید حالمو بپرسید گه خوریش به شما نیومده  شما هم اگه زنده اید عالیه
زنده مردتونو گاییدم.
SOL
@sut_tw"
131596,2026-02-28T07:15:04+00:00,"پس شروع شد...
خداوند نگهبان و نگهدار مردم ایران و سرزمین ایران باشه
اگه نت قطع شد، فعلا خدانگهدار
اگه هم که دست مرگ بر ما چیره شد، ببخشایید و حلال کنید
و اگر روزهای خوبی در پی بود، به‌جای ما هم آواز بخونید و برقصید
چو در میان مراد آورید دست امید
ز‌ عهد صحبت ما در میانه یادآرید
- علی هدیه‌لو -
@sut_tw"
131597,2026-02-28T07:53:19+00:00,"‏شاخص پمپ بنزین تهران >>>> شاخص پیتزا فروشی نزدیک پنتاگون
- آقا الماسی -
@sut_tw"
131598,2026-02-28T07:59:01+00:00,"این دفعه پیتزا سفارش ندادن ناشتا شروع کردن.
- حشمت کرایست
@sut_tw"
131599,2026-02-28T09:41:20+00:00,"پاینده ایران
- فلات ایران -
@sut_tw"
131600,2026-02-28T11:15:45+00:00,"تو شرایط جنگی دیگه چرا تو مترو آدم رو انگشت می‌کنید
Howl's unmoving castle 
@sut_tw"
131601,2026-02-28T11:27:08+00:00,"دوستانی که تنها زندگی می‌کنید، به نظرم این هفته لخت نخوابید.
Maryam
@sut_tw"
131602,2026-02-28T11:47:43+00:00,"متولدین ۷۰ الی ۸۴ ،کیر بخت ترین نسل ایرانی در چند نسل اخیر هستند
Mino
@sut_tw"
131603,2026-02-28T11:58:49+00:00,"این حجم از استرسی که ایرانی از خرداد تا اسفند تحمل کرده اندازه استرس کل زندگی یک وایته بخدا
Parisa
@sut_tw"
131604,2026-02-28T12:10:09+00:00,"بمب یه‌بار می‌کُشَتِت؛
اخبار فیک هر روز.
Babak Fathollahi 
@sut_tw"
131605,2026-02-28T12:20:05+00:00,"- No Context Human Persian -
@sut_tw"
131606,2026-02-28T18:05:30+00:00,"هی باید به chat gpt بگم من تو ایران زندگی میکنم وگرنه راه حل اروپایی میده.
- ریچل گرین 
@sut_tw"
